,domain_no,hmm_species,chain_type,e-value,score,seqstart_index,seqend_index,identity_species,v_gene,v_identity,j_gene,j_identity,unaligned_len,resolution,method,r_factor,date,year,dataset
7DF1:H,0,human,H,2.3000000000000002e-58,187.0,0,122,,,0.0,,0.0,123,2.806,X-RAY DIFFRACTION,0.217,2022-12-07,2022,test_new_234
7E9O:H,0,alpaca,H,1.3e-58,187.9,0,126,,,0.0,,0.0,226,0.0,ELECTRON MICROSCOPY,,2022-03-09,2022,test_new_234
7FGJ:H,0,mouse,H,1.2e-55,178.1,0,117,,,0.0,,0.0,216,1.89,X-RAY DIFFRACTION,0.196,2022-07-27,2022,test_new_234
7FGK:H,0,mouse,H,2.6e-56,180.2,0,118,,,0.0,,0.0,213,2.3,X-RAY DIFFRACTION,0.199,2022-07-27,2022,test_new_234
7FGL:H,0,mouse,H,2.8e-56,180.1,0,118,,,0.0,,0.0,219,2.1,X-RAY DIFFRACTION,0.2,2022-07-27,2022,test_new_234
7FGR:H,0,mouse,H,2.7e-56,180.2,0,118,,,0.0,,0.0,214,2.2,X-RAY DIFFRACTION,0.2,2022-07-27,2022,test_new_234
7FJC:H,0,human,H,4e-57,183.0,0,120,,,0.0,,0.0,216,2.96,X-RAY DIFFRACTION,0.212,2022-08-10,2022,test_new_234
7MYT:H,0,human,H,1.9e-50,161.4,0,125,,,0.0,,0.0,228,2.1,X-RAY DIFFRACTION,0.173,2022-11-09,2022,test_new_234
7OX1:H,0,alpaca,H,2.2e-58,187.3,0,126,,,0.0,,0.0,225,2.49,X-RAY DIFFRACTION,0.209,2022-12-28,2022,test_new_234
7OX3:H,0,alpaca,H,1.1000000000000001e-60,194.7,0,119,,,0.0,,0.0,215,1.7,X-RAY DIFFRACTION,0.176,2022-12-28,2022,test_new_234
7OX4:H,0,alpaca,H,4.9000000000000004e-60,192.6,0,122,,,0.0,,0.0,224,1.8,X-RAY DIFFRACTION,0.183,2022-12-28,2022,test_new_234
7PHS:H,0,alpaca,H,1.1e-57,184.9,0,121,,,0.0,,0.0,223,2.77,X-RAY DIFFRACTION,0.273,2022-09-07,2022,test_new_234
