,domain_no,hmm_species,chain_type,e-value,score,seqstart_index,seqend_index,identity_species,v_gene,v_identity,j_gene,j_identity,unaligned_len,resolution,method,r_factor,date,year,dataset
7DF1:H,0,human,H,2.3000000000000002e-58,187.0,0,122,,,0.0,,0.0,123,2.806,X-RAY DIFFRACTION,0.217,2022-12-07,2022,test_new_234
7DF1:L,0,human,K,6.1e-61,195.1,0,111,,,0.0,,0.0,112,2.806,X-RAY DIFFRACTION,0.217,2022-12-07,2022,test_new_234
7E9O:H,0,alpaca,H,1.3e-58,187.9,0,126,,,0.0,,0.0,226,0,ELECTRON MICROSCOPY,,2022-03-09,2022,test_new_234
7E9O:L,0,rhesus,K,8.3e-58,185.2,0,112,,,0.0,,0.0,218,0,ELECTRON MICROSCOPY,,2022-03-09,2022,test_new_234
7FGJ:H,0,mouse,H,1.2e-55,178.1,0,117,,,0.0,,0.0,216,1.89,X-RAY DIFFRACTION,0.196,2022-07-27,2022,test_new_234
7FGJ:L,0,mouse,L,1.7999999999999997e-55,177.5,0,115,,,0.0,,0.0,217,1.89,X-RAY DIFFRACTION,0.196,2022-07-27,2022,test_new_234
7FGK:H,0,mouse,H,2.6e-56,180.2,0,118,,,0.0,,0.0,213,2.3,X-RAY DIFFRACTION,0.199,2022-07-27,2022,test_new_234
7FGK:L,0,mouse,L,1.7999999999999997e-55,177.4,0,115,,,0.0,,0.0,218,2.3,X-RAY DIFFRACTION,0.199,2022-07-27,2022,test_new_234
7FGL:H,0,mouse,H,2.8e-56,180.1,0,118,,,0.0,,0.0,219,2.1,X-RAY DIFFRACTION,0.200,2022-07-27,2022,test_new_234
7FGL:L,0,mouse,L,1.9e-55,177.4,0,115,,,0.0,,0.0,219,2.1,X-RAY DIFFRACTION,0.200,2022-07-27,2022,test_new_234
7FGR:H,0,mouse,H,2.7e-56,180.2,0,118,,,0.0,,0.0,214,2.2,X-RAY DIFFRACTION,0.200,2022-07-27,2022,test_new_234
7FGR:L,0,mouse,L,1.7999999999999997e-55,177.5,0,115,,,0.0,,0.0,217,2.2,X-RAY DIFFRACTION,0.200,2022-07-27,2022,test_new_234
7FJC:H,0,human,H,4e-57,183.0,0,120,,,0.0,,0.0,216,2.96,X-RAY DIFFRACTION,0.212,2022-08-10,2022,test_new_234
